PITG_02623	P0DJ06|PHI72PHI6784PHI6790PHI6812|Sap2	21.013	395	226	13	58	425	61	396	3.11e-10	55.5
PITG_02623	P0CY26|PHI68|Sap1	23.200	375	209	18	74	425	71	389	5.27e-09	51.6
PITG_02623	Q00663|PHI17|Acp	21.253	367	226	13	71	425	78	393	8.02e-08	47.8
PITG_22880	PsPSR2	34.188	117	70	2	84	200	261	370	1.87e-16	70.1
PITG_22880	PsAvh163	29.508	122	78	2	76	197	254	367	2.23e-13	61.2
PITG_22880	HaRxL24	28.947	152	96	5	41	187	12	156	2.55e-12	57.8
PITG_22880	HaRxL96	25.234	214	139	8	1	200	1	207	4.37e-10	51.2
PITG_07467	crn1	31.061	132	70	4	1	120	1	123	3.34e-10	50.8
PITG_16845	PsPSR2	36.792	212	131	2	62	271	160	370	1.21e-40	143
PITG_16845	HaRxL24	29.487	234	156	5	37	267	25	252	9.20e-24	93.2
PITG_16845	PsAvh163	31.053	190	123	6	77	260	265	452	1.76e-16	72.8
PITG_16845	HaRxL96	26.609	233	144	10	10	224	25	248	2.48e-14	65.9
PITG_11909	P29138|PHI4615|Pr1	31.559	263	142	12	178	429	117	352	5.86e-15	69.7
PITG_11909	KEX1	25.357	280	173	10	183	442	173	436	1.14e-10	57.0
PITG_08944	PsXEG1	50.455	220	107	2	23	240	22	241	1.37e-74	220
PITG_22995	Q6PQG3|PHI4252|Epi10	43.750	64	28	3	26	84	10	70	5.49e-09	44.3
PITG_08949	AVR2_1	69.620	79	24	0	1	79	1	79	1.33e-35	111
PITG_13680	Q945T9|PHI653|Gip2	47.639	233	116	4	25	252	26	257	1.65e-75	225
PITG_13680	GIP1	44.615	260	132	7	1	252	1	256	1.49e-70	211
PITG_11077	Q5TIP4|PHI2347|Pgip2	31.193	218	146	4	71	286	90	305	2.86e-24	94.4
PITG_16866	L7NCR0|PHI8061|Pc129892	65.385	234	78	2	4	237	3	233	3.32e-111	313
PITG_16866	Q0E7H7|PHI2342|Benep2	41.633	245	124	7	4	237	8	244	5.44e-55	170
PITG_16866	NEP1	39.381	226	124	6	15	235	27	244	1.58e-49	156
PITG_16866	MoSPD9	38.889	216	121	4	22	236	24	229	9.03e-48	151
PITG_16866	FocSix8	37.344	241	134	7	7	236	18	252	2.54e-44	143
PITG_23051	L7NCR0|PHI8061|Pc129892	40.486	247	129	9	1	244	1	232	7.13e-46	148
PITG_23051	NEP1	33.051	236	127	8	18	243	30	244	8.11e-31	109
PITG_23051	Q0E7H7|PHI2342|Benep2	31.765	255	142	9	2	243	7	242	4.19e-27	99.4
PITG_23051	FocSix8	32.422	256	146	8	3	244	10	252	1.05e-23	90.5
PITG_23051	MoSPD9	27.615	239	156	7	6	244	8	229	2.03e-22	86.7
PITG_12458	PsPSR2	38.956	249	145	2	54	302	156	397	2.21e-61	200
PITG_12458	HaRxL24	28.571	280	176	5	48	317	36	301	7.62e-32	115
PITG_12458	PsAvh163	29.268	246	149	6	68	304	260	489	2.55e-21	87.4
PITG_12458	HaRxL96	29.461	241	144	11	62	292	178	402	9.05e-17	73.6
PITG_12458	HaRxL22	23.982	221	146	6	83	296	75	280	1.52e-09	51.2
PITG_07556	AVR1	24.691	162	90	5	58	211	64	201	1.76e-07	43.5
PITG_07452	Q6PQG3|PHI4252|Epi10	34.545	55	36	0	19	73	154	208	2.49e-08	42.4
PITG_03417	SSPbP94	28.994	169	103	4	27	195	149	300	2.85e-14	65.5
PITG_06080	PsPSR2	30.197	457	297	11	107	544	86	539	6.80e-58	199
PITG_06080	BSW11	26.136	440	277	14	81	498	61	474	5.59e-32	123
PITG_06080	PsAvh163	25.455	385	254	11	152	520	129	496	7.25e-22	92.0
PITG_06080	BLR36	24.290	317	208	11	99	403	84	380	2.99e-18	80.5
PITG_06080	HaRxL24	26.190	294	196	9	67	353	36	315	3.86e-17	76.6
PITG_18609	Avh5	38.514	148	74	5	1	146	1	133	1.29e-27	94.0
PITG_19808	PsPSR2	30.000	340	220	8	60	389	338	669	1.26e-42	151
PITG_19808	HaRxL24	28.339	307	203	8	33	334	21	315	1.64e-24	97.1
PITG_19808	PsAvh163	28.517	263	169	9	101	355	105	356	5.03e-22	90.9
PITG_19808	HaRxL96	23.105	277	198	7	84	355	106	372	3.61e-10	53.9
PITG_19808	HaRxL22	22.472	267	189	6	101	361	88	342	6.93e-08	46.6
PITG_19985	Q0ZJ79|PHI2343|Pcipg2	65.455	275	94	1	8	282	88	361	4.49e-123	349
PITG_19985	O94100|PHI103PHI1027|Bcpga1Bcpg1	38.328	287	157	9	8	282	104	382	1.16e-48	159
PITG_19985	P41749|PHI88|Peca	34.386	285	170	9	8	282	86	363	5.13e-48	157
PITG_19985	P78607|PHI247|Cppg1	36.981	265	152	7	8	262	89	348	4.16e-46	152
PITG_19985	O00094|PHI114|Pg1	37.770	278	138	8	13	265	85	352	2.81e-45	150
PITG_06962	PsXEG1	54.545	242	107	3	28	267	1	241	6.21e-84	250
PITG_03258	N4TQ97	37.651	332	192	5	22	343	30	356	1.07e-67	211
PITG_03258	X0K3U9	37.243	341	201	5	12	343	19	355	1.32e-66	208
PITG_08278	AVR2_1	41.964	112	52	6	1	104	1	107	3.21e-09	44.7
PITG_23135	Avrblb2	50.000	72	31	2	1	67	1	72	9.29e-15	57.8
PITG_21648	PsAvh163	30.837	227	145	6	41	262	57	276	9.43e-27	102
PITG_21648	PsPSR2	27.559	254	173	5	46	290	235	486	4.59e-23	92.4
PITG_21648	HaRxL96	26.087	230	148	7	24	234	39	265	8.83e-18	76.3
PITG_21648	HaRxL22	23.077	260	179	7	14	262	8	257	5.16e-11	55.8
PITG_07387	PiAvr4	100.000	287	0	0	1	287	1	287	0.0	591
PITG_21248	Q0ZJ79|PHI2343|Pcipg2	76.176	340	80	1	1	339	22	361	6.36e-176	486
PITG_21248	P41749|PHI88|Peca	34.582	347	208	9	5	339	24	363	5.70e-66	206
PITG_21248	O94100|PHI103PHI1027|Bcpga1Bcpg1	40.923	325	174	11	27	339	64	382	5.25e-65	204
PITG_21248	P78607|PHI247|Cppg1	38.255	298	172	6	8	298	30	322	1.33e-58	187
PITG_21248	P78608|PHI437|Cppg2	37.333	300	175	6	8	299	30	324	3.06e-58	186
PITG_20997	crn1	69.677	310	88	4	1	308	1	306	2.91e-141	399
PITG_20997	crn2	27.815	302	162	12	1	265	1	283	2.06e-14	66.2
PITG_04267	L7NCR0|PHI8061|Pc129892	38.494	239	134	5	40	277	6	232	6.30e-50	158
PITG_04267	NEP1	32.456	228	142	4	46	273	26	241	6.57e-39	130
PITG_04267	FocSix8	32.099	243	156	5	37	277	17	252	1.03e-35	122
PITG_04267	MoSPD9	35.047	214	126	5	35	248	5	205	1.22e-31	110
PITG_04267	Q0E7H7|PHI2342|Benep2	32.589	224	137	6	33	251	9	223	1.77e-28	103
PITG_16613	crn1	85.880	432	59	2	1	431	1	431	0.0	741
PITG_16613	crn2	28.866	485	259	22	1	429	1	455	3.28e-32	120
